大丈夫、大丈夫。	It's okay.
体中がずきずき痛む。	I have aches and pains all over my body.
トムは微笑んだ。	Tom smiled.
トムは答えを知ってるんだよ。	Tom knows the answer.
なんでそんなこと言うの？	What makes you say that?
コーヒーを持ってきてくれないか。	"Bring me a cup of coffee, will you?"
シャツ、裏返しよ。	Your shirt is inside out.
日本にいらっしゃったのはいつ頃ですか？	When did you come to Japan?
２日で３つの州を走破した。	We covered three states in two days.
わざとやったんじゃないんです。	I didn't do it on purpose.
可能性がなくはない。	It's possible.
彼らはいつもいがみ合っています。	They are always at each other's throats.
遅くなったら叱られちゃう。	"If I'm late, I'll be scolded."
彼女はすぐに良くなりますか？	Will she get well soon?
オーストラリアでお気に入りの小さな街はなんですか？	What's your favorite small town in Australia?
トムは行動をやめた。	Tom stopped what he was doing.
必ずやります。	I'll do it by all means.
私だったらやらないけどなあ。	"If I were you, I wouldn't do it."
六時半に予約しています。	I have a reservation for six-thirty.
一目惚れなの。	It was love at first sight.
トムに話してもいい？	Can I tell Tom?
夏は好きですか。	Do you like summer?
彼は旅をする事に慣れています。	He is used to traveling.
ここで何が起こっているのですか。	What is going on here?
仕事を見つけないと。	You must find work.
彼が答える前に一瞬の間があった。	He hesitated before answering.
トムは泥沼にはまった。	Tom fell into the mud.
トムは実にいい声をしている。	Tom certainly has a nice voice.
トムはメアリーより面白い。	Tom is funnier than Mary.
新しい自転車を手に入れた。	I've got a new bike.
私は質問するために手を上げた。	I raised my hand to ask a question.
川に沿って歩きなさい、そうすれば学校が見えるでしょう。	Walk along the river and you will find the school.
彼女はミニスカートが好きです。	She likes miniskirts.
彼女は一生独身で通した。	She remained single all her life.
いつかボストンに行けることを願っています。	I hope to visit Boston someday.
空には星がいっぱい見えた。	The sky was filled with stars.
マジで時間がないんだよ。	I really don't have the time.
トムは行くべきだ。	Tom ought to go.
高校時代はよくテニスをしたものです。	I used to play tennis in high school.
それは良くない考えだとトムは思ってるんだ。	Tom thinks that's not a good idea.
私のおじさんは医者です。	An uncle of mine is a doctor.
家にとどまりなさい。	Stay home.
トムはヒーローかのように振舞った。	Tom acted like a hero.
今日、メアリーはハイヒールを履いている。	Mary is wearing high heels today.
彼女はやむを得ずその計画をあきらめた。	She was obliged to give up the plan.
あなたが好きなカナダの歌手は誰ですか？	Who's your favorite Canadian singer?
僕は大学で工学を専攻するつもりだ。	I plan to major in engineering in college.
トムにティッシュをあげて。	Give Tom a tissue.
私は喫茶店でコーヒーを１杯飲みました。	I had a cup of coffee at the coffee shop.
私を見つけるやいなや彼女は私のいる方へ駆け出した。	No sooner had she caught sight of me than she started running in my direction.
私には、お父さんが獣医をしている友達がいる。	I have a friend whose father is an animal doctor.
あなたの役に立ちたい。	I'd like to help you.
死ぬまでにあと1回はボストンに行きたい。	I'd like to visit Boston at least one more time before I die.
君は昨晩何をしていたのですか？	What did you do last night?
もうこれ以上我慢できません。	I can't stand it any longer.
警察はその事故がどんなふうに起きたのかを、その目撃者に詳しく話させた。	The police made the witness explain in detail how the accident had happened.
これは君の自転車？	Is this your bike?
手続きを説明していただけますか。	Please explain the procedure.
君が読む番だよ。	It's your turn to read.
トムはお腹がすいてたんだと思う。	I think that Tom was hungry.
彼は今月まだ報告書を提出していない。	He hasn't yet turned in the report this month.
安心しました。	I feel relieved.
あれ、喜ぶと思ったのに。	"Hey, I thought you'd be pleased."
リンゴはお好きですか。	Do you like apples?
どこで会いましょうか。	Where shall we meet?
今日は家で仕事をしてるんだ。	Today I'm working from home.
何か私に聞きたいことがあるの？	Is there something you want to ask me?
この寒い天気はいつまで続くのだろうか。	How long will this cold weather continue?
こちらにおかけください。	Please have a seat here.
私はこの夏キャンプに行った。	I went camping last summer.
「私は来週ハワイへ行くつもりよ」「ほんと？」	"I'm going to Hawaii next week. ""Really?"""
トムならお皿洗ってるよ。	Tom is washing dishes.
これは価値がありますか？	Is this valuable?
他に何がありますか。	What else do you have?
どのチームが一番優勝しそうですか。	Which team is the most likely to win the championship?
彼女はとにかく出かけたかった。	She wanted to go out anyway.
甘いものが食べたい。	I want something sweet to eat.
私のかばんにはお金はまったく入っていません。	There is no money in my bag.
次の問題にとりかかった。	He proceeded to the next question.
トムさんは謝ることないですよ。	"You don't need to apologize, Tom."
彼は年齢を偽った。	He lied about his age.
彼は非常に風邪を引きやすい。	He catches colds very easily.
その問題の解明はすぐそこだった。	The resolution to the problem was close at hand.
何か書くもの、ありますか？	Do you have something to write with?
毎朝早起きするのを習慣にしている。	I make it a rule to get up early in the morning.
もう満腹です。	My stomach is full.
来週はボストンに行かなくてもいいよ。	You don't have to go to Boston next week.
彼女がどこへ行ったのかさっぱりわからない。	It beats me where she's gone.
日増しに暑くなる。	It is getting warmer day by day.
野球って何が面白いの？	What's so interesting about baseball?
トムはメアリーにカメラを買ってあげた。	Tom bought Mary a camera.
三十万ドルほど貸していただけませんか。	I'd like to borrow about three hundred thousand dollars.
テレビでは俳優が台詞を思い出せるようにキューカードが主に使われる。	Cue cards are used primarily on television to help the actors remember their lines.
「ありがとう」はフランス語でなんて言うの？	"How do you say ""thank you"" in French?"
本当？	Is that true?
第一印象は大切だ。	First impressions matter.
トムとメアリーは一緒に六品の料理を食べた。	Tom and Mary ate a six-course meal together.
それが仕事です。	It's my job.
トムってかなり楽観的だよ。	Tom is quite optimistic.
あなたの提案は、ごもっともですよ。	Your suggestion seems reasonable.
後で私に電話をして下さい。	Please call me up later.
トムは笑っていない。	Tom isn't smiling.
屋根から落ちてきたタイルは粉々に砕けた。	The tiles that fell from the roof broke into very small pieces.
彼には一緒に遊ぶ友達がいない。	He doesn't have any friends to play with.
彼は事故で負傷した。	He was injured in the accident.
ここでよくトムを見かけるよ。	I often see Tom here.
実はトムは30歳を超えている。	Tom is actually over thirty.
トムは私の助けを欲しがらない。	Tom doesn't want my help.
電話はどこでできる？	Where can we make a phone call?
トムはボストンで何しているの？	What does Tom do in Boston?
君に本を読んでもらいたい。	I want you to read this book.
トムは結婚を取りやめたい。	Tom wants to call off the marriage.
彼は仕事をやめたことを後悔した。	He regretted having quit his job.
私を醜いと思いますか。	Do you think I'm ugly?
俺たちは取引をした。	We made a bargain.
休憩していいよ。	You can take a break.
２０人の生徒のうちたった一人しかその本を読んだことがなかった。	"Out of twenty students, only one had read the book."
過ぎたことは仕方ないよ。	You can't change the past.
私は明日忙しい。	I'll be busy tomorrow.
郵便局はこの近くですか？	Is the post office near here?
あなたは早く来すぎです。	You've come too early.
２つのことを一度にしようとしてはいけません。	Don't try to do two things at a time.
もう食べられません。	I can't eat any more.
彼がそんなことをしたはずがない。	He cannot have done such a thing.
寄りかかっていいよ。	Lean on me.
きっぱりと彼の頼みを断りなさい。	Turn him down once and for all.
ダイヤモンドほど硬いものはない。	There's nothing harder than a diamond.
時間の使い方上手くなりたいなあ。	I want to become better at managing my time.
医者はなんて言ったの？	What did the doctor say?
彼女はそれを逐語訳した。	She translated that word for word.
誰か驚いた？	Is anyone surprised?
１日中テニスをしていたのだから。	He was playing tennis all day.
ほとんどの人が日々の生活について書いている。	Most people write about their daily life.
トムは黒い眼鏡をかけている。	Tom wears black-rimmed glasses.
彼女はハーバード大学に受かった。	She was accepted by Harvard.
学校までは歩いてほんの５分です。	The school is only a five-minute walk.
もう我慢できない。	I can't take any more.
仕事に出かけようとしている時に電話が鳴った。	I was about to leave for work when the telephone rang.
後であなたたちに合流します。	I'll join you later.
生存者はいたんですか？	Were there any survivors?
彼は今は船に乗っている。	He's now on the boat.
トムの死亡が昨日、確認されました。	Tom's death was confirmed yesterday.
アルミは金属です。	Aluminum is a metal.
彼は僕と父さんとの諍いを知らないみたいだ。	He seems not to be aware of the conflict between my father and me.
お掛けください。	Please take your seat.
この子犬達、誰か犬好きな人にあげるよ。	I'll give these puppies to anyone who likes dogs.
彼らは去った。	They left.
あなたはどのくらいのお金が必要なのですか。	About how much money do you need?
自分のホームページのレイアウトを変えた。	I've changed my website's layout.
定刻にそこに必ず着くようにしなくてはいけないよ。遅れても、トムは10分以上待ってはくれないからね。	You should make sure that you get there on time. Tom won't wait more than ten minutes if you are late.
私は彼に、男子出産のお祝いを述べた。	I congratulated him on the birth of his son.
私はこの前と同じ誤りをしてしまった。	I've made the same mistakes as I made last time.
「彼らはその法案を可決したの」「うん、とうとう通過させたんだ」	"Did they get the law passed? ""Yes, they finally put it through."""
たまには頭を使えよ。	Use your head for a change.
タクシーを呼んで下さい。	Please call a taxi.
盗難届はどのようにすればいいのですか。	How do I report a theft?
君無しでは生きられない。	I can't live without you.
氷は、その上を歩けるほど分厚かった。	The ice was thick enough to walk on.
トムは他に何が欲しいのですか。	What else does Tom want?
彼は打ち解けた。	He has come out of his shell.
トムは本物のカウボーイだ。	Tom is a real cowboy.
彼によろしくお伝えください。	Please say hello to him for me.
初診ですか。	Is this your first visit?
泣けばよいのか悪いのか。	I don't know whether to cry or to laugh.
まだ雨降ってる？	Is it still raining?
彼は気が多いやつだ。	He's interested in many things.
ジョンは俺より２歳年上だ。	John is two years older than me.
すぐに来て下さい。	Please come right now.
バラは良い香りがする。	Roses smell sweet.
バスケは上手くできる？	Can you play basketball well?
来週、二日間のお休みをいただきたいのですが。	I'd like to take a couple of days off next week.
しゃっくりを止めるにはどうすればいいんだろうか。	What should I do to stop hiccoughs?
上の階の窓が開いた。	The upstairs window opened.
彼は靴を１足買った。	He bought a pair of shoes.
今日はついてないな。	It is not my day.
彼は自殺をした。	He killed himself.
何か必要なものはありますか？	Is there anything you need?
彼は怠け者だ。	He's a slacker.
ぐずぐずしている時間はほとんどない。	We have little time to waste.
眠いの？	Are you sleepy?
彼は仰向けになっていた。	He was lying on his back.
このコーヒー、ぬるいね。	This coffee isn't hot enough.
ちゃんと体調管理をしなさいよ。	You must take good care of yourself.
彼は死にかかっている。	He is on the point of death.
彼女は家にいる時が一番幸せだ。	She is happiest when she is at home.
ここは入口ではありません。	This isn't the entrance.
トムは自分に選択肢がないとわかっている。	Tom knows he has no choice.
トムは病院にいる。	Tom is in the hospital.
彼女は物理学の研究に一生を捧げた。	She devoted her entire life to the study of physics.
もっと気楽に生きなよ。	Take it easy.
彼はいつも一生懸命働く。	He always works hard.
あなたを助けたかった。	I wanted to rescue you.
トムは泣いた。	Tom wept.
突然明かりが全て消えてしまった。	"All of a sudden, all the lights went out."
話しぶりから彼はアメリカ人ではないことがわかる。	I know from his speech that he is not an American.
風は次第におさまった。	The wind gradually died down.
トムはグリルから肉を取り出した。	Tom took the meat off the grill.
我々は環境と遺伝の両方の影響を受けている。	We are influenced both by environment and by heredity.
門を閉める時間だ。	It is time to shut the gate.
日本大使館は日本人に対し、注意するよう警告している。	The Japanese embassy has warned Japanese citizens to be careful.
私は学校にいる時が一番楽しい。	I feel the happiest when I'm at school.
本ありがとう。	Thanks for the book.
それはとても美しい花だった。	That was a very beautiful flower.
彼がいつ来るのかはっきりしない。	I don't know for certain when he will come.
